Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control,
GIK15612_2,,0.77,0.51,3.93,0.51,3.93,5-7,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Sarnthein, M., Winn, K., Jung, S. J. A., Duplessy, J.-C., Labeyrie, L., Erlenkeuser, H. and Ganssen, G.: Changes in East Atlantic Deepwater Circulation over the last 30,000 years: Eight time slice reconstructions, Paleoceanography, 9(2), 209–267, doi:10.1029/93pa03301, 1994. AND Cannot get citation for doi: 10.2312/reports-gpi.1998.90, probably a report.",,https://doi.pangaea.de/10.1594/PANGAEA.54369, https://doi.pangaea.de/10.1594/PANGAEA.55942,1
GIK15612_2,,0.83,0.2,4.29,0.2,4.29,5-7,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Sarnthein, M., Winn, K., Jung, S. J. A., Duplessy, J.-C., Labeyrie, L., Erlenkeuser, H. and Ganssen, G.: Changes in East Atlantic Deepwater Circulation over the last 30,000 years: Eight time slice reconstructions, Paleoceanography, 9(2), 209–267, doi:10.1029/93pa03301, 1994. AND Cannot get citation for doi: 10.2312/reports-gpi.1998.90, probably a report.",,https://doi.pangaea.de/10.1594/PANGAEA.54369, https://doi.pangaea.de/10.1594/PANGAEA.55942,1
GIK15612_2,,0.87,0.51,4.4,0.51,4.4,5-7,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Sarnthein, M., Winn, K., Jung, S. J. A., Duplessy, J.-C., Labeyrie, L., Erlenkeuser, H. and Ganssen, G.: Changes in East Atlantic Deepwater Circulation over the last 30,000 years: Eight time slice reconstructions, Paleoceanography, 9(2), 209–267, doi:10.1029/93pa03301, 1994. AND Cannot get citation for doi: 10.2312/reports-gpi.1998.90, probably a report.",,https://doi.pangaea.de/10.1594/PANGAEA.54369, https://doi.pangaea.de/10.1594/PANGAEA.55942,1
GIK15612_2,,0.89,0.54,4.35,0.54,4.35,5-7,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Sarnthein, M., Winn, K., Jung, S. J. A., Duplessy, J.-C., Labeyrie, L., Erlenkeuser, H. and Ganssen, G.: Changes in East Atlantic Deepwater Circulation over the last 30,000 years: Eight time slice reconstructions, Paleoceanography, 9(2), 209–267, doi:10.1029/93pa03301, 1994. AND Cannot get citation for doi: 10.2312/reports-gpi.1998.90, probably a report.",,https://doi.pangaea.de/10.1594/PANGAEA.54369, https://doi.pangaea.de/10.1594/PANGAEA.55942,1
GIK15612_2,,0.908,0.79,4.24,0.79,4.24,5-7,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Sarnthein, M., Winn, K., Jung, S. J. A., Duplessy, J.-C., Labeyrie, L., Erlenkeuser, H. and Ganssen, G.: Changes in East Atlantic Deepwater Circulation over the last 30,000 years: Eight time slice reconstructions, Paleoceanography, 9(2), 209–267, doi:10.1029/93pa03301, 1994. AND Cannot get citation for doi: 10.2312/reports-gpi.1998.90, probably a report.",,https://doi.pangaea.de/10.1594/PANGAEA.54369, https://doi.pangaea.de/10.1594/PANGAEA.55942,1
GIK15612_2,,0.95,0.79,4.37,0.79,4.37,5-7,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Sarnthein, M., Winn, K., Jung, S. J. A., Duplessy, J.-C., Labeyrie, L., Erlenkeuser, H. and Ganssen, G.: Changes in East Atlantic Deepwater Circulation over the last 30,000 years: Eight time slice reconstructions, Paleoceanography, 9(2), 209–267, doi:10.1029/93pa03301, 1994. AND Cannot get citation for doi: 10.2312/reports-gpi.1998.90, probably a report.",,https://doi.pangaea.de/10.1594/PANGAEA.54369, https://doi.pangaea.de/10.1594/PANGAEA.55942,1
GIK15612_2,,0.97,1.03,4.3,1.03,4.3,5-7,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Sarnthein, M., Winn, K., Jung, S. J. A., Duplessy, J.-C., Labeyrie, L., Erlenkeuser, H. and Ganssen, G.: Changes in East Atlantic Deepwater Circulation over the last 30,000 years: Eight time slice reconstructions, Paleoceanography, 9(2), 209–267, doi:10.1029/93pa03301, 1994. AND Cannot get citation for doi: 10.2312/reports-gpi.1998.90, probably a report.",,https://doi.pangaea.de/10.1594/PANGAEA.54369, https://doi.pangaea.de/10.1594/PANGAEA.55942,1
GIK15612_2,,0.985,0.81,4.33,0.81,4.33,5-7,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Sarnthein, M., Winn, K., Jung, S. J. A., Duplessy, J.-C., Labeyrie, L., Erlenkeuser, H. and Ganssen, G.: Changes in East Atlantic Deepwater Circulation over the last 30,000 years: Eight time slice reconstructions, Paleoceanography, 9(2), 209–267, doi:10.1029/93pa03301, 1994. AND Cannot get citation for doi: 10.2312/reports-gpi.1998.90, probably a report.",,https://doi.pangaea.de/10.1594/PANGAEA.54369, https://doi.pangaea.de/10.1594/PANGAEA.55942,1
GIK15612_2,,1.005,1.12,4.44,1.12,4.44,5-7,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Sarnthein, M., Winn, K., Jung, S. J. A., Duplessy, J.-C., Labeyrie, L., Erlenkeuser, H. and Ganssen, G.: Changes in East Atlantic Deepwater Circulation over the last 30,000 years: Eight time slice reconstructions, Paleoceanography, 9(2), 209–267, doi:10.1029/93pa03301, 1994. AND Cannot get citation for doi: 10.2312/reports-gpi.1998.90, probably a report.",,https://doi.pangaea.de/10.1594/PANGAEA.54369, https://doi.pangaea.de/10.1594/PANGAEA.55942,1
GIK15612_2,,1.04,0.73,4.2,0.73,4.2,5-7,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Sarnthein, M., Winn, K., Jung, S. J. A., Duplessy, J.-C., Labeyrie, L., Erlenkeuser, H. and Ganssen, G.: Changes in East Atlantic Deepwater Circulation over the last 30,000 years: Eight time slice reconstructions, Paleoceanography, 9(2), 209–267, doi:10.1029/93pa03301, 1994. AND Cannot get citation for doi: 10.2312/reports-gpi.1998.90, probably a report.",,https://doi.pangaea.de/10.1594/PANGAEA.54369, https://doi.pangaea.de/10.1594/PANGAEA.55942,1
