Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),97.5_percent(y BP),2.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
SHAK-14-4G,,3.7,17171,,,17630.025,16809,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,3.72,17245.5,,,17777.1,16841.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,3.74,17323,,,17872.075,16888.875,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,3.76,17401,,,17960.125,16928.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,3.78,17477.5,,,18027.15,16987.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,3.8,17550.5,,,18170.025,17034,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,3.82,17619.5,,,18229.175,17089.9,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,3.84,17694,,,18305.025,17154,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,3.86,17764.5,,,18401.075,17203.875,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,3.88,17838,,,18487.15,17266.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,3.9,17904.5,,,18562.35,17334.9,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,3.92,17985.5,,,18622,17373,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,3.94,18062,,,18699.1,17464.85,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,3.96,18128.5,,,18760.05,17514,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,3.98,18198,,,18840,17604.9,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4,18272.5,,,18889.275,17642.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.02,18355,,,18959.075,17705.825,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.04,18425.5,,,19022,17793.925,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.06,18501,,,19096,17876.9,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.08,18577,,,19168,17953.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.1,18651.5,,,19230.125,18066.65,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.12,18722,,,19297.075,18110.925,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.14,18807.5,,,19338.025,18171.875,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.16,18893.5,,,19371.1,18264.9,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.18,18975,,,19415.025,18356.725,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.2,19056,,,19447.025,18444.7,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.22,19122,,,19484.025,18554.925,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.24,19192,,,19508.025,18682.775,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.26,19276,,,19552.2,18789.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.28,19362,,,19588.025,18936.85,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.3,19438,,,19638.025,19088.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.32,19544,,,19733.05,19320.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.34,19630.5,,,19855,19417.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.36,19695,,,19955.075,19463.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.38,19750,,,20011.025,19508.775,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.4,19810,,,20064,19548.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.42,19864,,,20113.1,19601,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.44,19919,,,20147,19647,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.46,19975,,,20189.075,19708,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.48,20031.5,,,20234.025,19773.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.5,20087,,,20284.025,19866.9,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.52,20174.5,,,20400.05,20007.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.54,20284,,,20647.05,20104,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.56,20369,,,20738.025,20138,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.58,20446,,,20855.45,20169.875,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.6,20531,,,20986.025,20204,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.62,20604,,,21074.225,20242.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.64,20691.5,,,21147.15,20273.95,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.66,20767.5,,,21204.075,20318.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.68,20845,,,21305.025,20387.9,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.7,20916.5,,,21361.05,20462.775,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.72,20988,,,21431.025,20529.825,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.74,21066,,,21487,20610.725,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.76,21135.5,,,21526.175,20678.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.78,21213,,,21597.025,20755.825,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.8,21290.5,,,21626.1,20843.775,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.82,21370,,,21663,20925.725,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.84,21451.5,,,21696.05,21046,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.86,21524,,,21737.025,21189.975,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.88,21638,,,21813.025,21410,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.9,21717,,,21876.025,21542.925,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.92,21766,,,21919,21604,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.94,21812,,,21964.025,21657,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
SHAK-14-4G,,4.96,21876.5,,,22072.125,21735,3,from Skinner et al. 2021 https://doi.org/10.1029/2020PA004074. Calculated with Bchron,,
