Site,Longitude (degE),Latitude (degN),Site Depth (m),published_archival_depth (m),age_model (y BP),d13C (VPDB),d18O (VPDB),Taxon_flag,Ocean_flag(1=Atl.;2=Pac.;3=Ind.)
KNR166-2-26JPC,-83.2523,24.3268,546.0,3.123,10792.2,0.29,2.01,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,3.223,10843.2,0.58,1.85,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,3.243,10851.8,0.12,2.01,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,3.263,10861.8,0.29,2.15,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,3.303,10883.5,0.18,2.12,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,3.323,10894.5,0.16,2.07,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,3.343,10905.8,0.23,2.18,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,3.383,10928.8,0.71,2.17,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,3.403,10941.5,0.47,2.0,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,3.423,10952.5,0.36,2.25,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,3.463,10981.0,0.18,2.19,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,3.483,11001.3,0.36,2.14,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,3.503,11021.6,0.17,2.12,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,3.523,11044.0,0.36,2.1,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,3.543,11064.0,0.29,1.98,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,3.563,11083.7,0.28,2.1,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,3.583,11102.7,0.27,1.89,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,3.623,11135.4,0.37,2.26,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,3.643,11150.4,0.09,1.96,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,3.663,11165.1,0.21,1.94,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,3.703,11190.8,0.33,2.07,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,3.723,11201.5,0.27,1.92,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,3.763,11217.9,0.31,1.98,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,3.783,11225.2,0.31,1.99,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,3.803,11234.2,0.23,1.98,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,3.823,11242.2,0.12,2.02,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,3.843,11251.5,0.18,1.94,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,3.863,11260.2,0.28,2.01,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,3.883,11269.5,0.19,2.06,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,3.903,11278.2,0.08,2.05,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,3.943,11297.5,0.31,2.11,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,3.963,11307.5,0.19,2.0,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,3.983,11317.5,0.44,2.01,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,4.023,11338.5,0.41,1.79,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,4.043,11350.5,0.41,1.88,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,4.063,11361.8,0.44,1.93,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,4.082,11373.6,0.43,1.99,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,4.103,11393.3,0.42,1.91,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,4.123,11416.6,0.43,1.9,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,4.143,11441.3,0.44,1.89,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,4.163,11466.6,0.23,2.01,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,4.183,11492.6,0.42,1.93,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,4.223,11538.9,0.41,1.9,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,4.263,11585.3,0.43,1.92,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,4.283,11607.3,0.47,1.96,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,4.303,11629.0,0.32,1.95,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,4.343,11668.0,0.45,1.91,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,4.363,11689.3,0.34,2.02,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,4.383,11710.0,0.37,1.92,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,4.423,11747.7,0.5,1.9,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,4.443,11767.0,0.41,1.92,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,4.463,11787.3,0.33,1.93,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,4.503,11829.0,0.41,1.91,4.0,1
KNR166-2-26JPC,-83.2523,24.3268,546.0,4.523,11847.7,0.53,1.93,4.0,1
