Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
GIK17049_6,,3.15,0.99,4.02,0.99,4.02,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,3.175,0.97,4.06,0.97,4.06,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,3.2,1.09,3.85,1.09,3.85,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,3.225,0.86,4.01,0.86,4.01,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,3.25,1.18,4.09,1.18,4.09,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,3.275,1.2,4.06,1.2,4.06,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,3.3,0.89,3.82,0.89,3.82,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,3.325,1.16,3.89,1.16,3.89,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,3.35,1,4,1,4,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,3.375,0.78,3.86,0.78,3.86,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,3.425,0.99,3.88,0.99,3.88,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,3.45,0.85,4.02,0.85,4.02,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,3.5,0.8,3.43,0.8,3.43,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,3.52,1.05,3.93,1.05,3.93,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,3.55,1.05,4.01,1.05,4.01,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,3.575,0.61,3.98,0.61,3.98,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,3.6,0.76,3.39,0.76,3.39,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,3.7,0.2,3.89,0.2,3.89,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,3.725,0.92,4.13,0.92,4.13,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,3.79,1.09,3.59,1.09,3.59,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,3.825,0.53,4.16,0.53,4.16,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,3.85,0.35,3.39,0.35,3.39,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,3.875,0.1,2.55,0.1,2.55,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,3.925,0.87,3.96,0.87,3.96,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,3.95,1.33,3.62,1.33,3.62,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,3.975,1.03,3.6,1.03,3.6,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,3.99,0.98,3.22,0.98,3.22,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,4.025,0.86,3.6,0.86,3.6,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
GIK17049_6,,4.05,1.1,3.72,1.1,3.72,5-15,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Jung, Simon J A; Sarnthein, Michael (2003)",,https://doi.pangaea.de/10.1594/PANGAEA.112908,1
