Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control,,,,,,,,,,,,,,,
ODP-202-1242,,0.41,-0.9,5.03,,,,150,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-3,,,,,,,150,,,
ODP-202-1242,,0.45,-1.1,4.69,,,10,250,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-3,,,,,,,,,,250
ODP-202-1242,,0.49,-0.89,4.86,,,,150,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-3,,,,,,,150,,,
ODP-202-1242,,0.53,-0.94,4.54,,,10,250,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-3,,,,,,,,,,250
ODP-202-1242,,0.57,-0.88,4.86,,,,150,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-3,,,,,,,150,,,
ODP-202-1242,,0.61,-1.07,4.76,,,10,250,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-3,,,,,,,,,,250
ODP-202-1242,,0.65,-1.06,4.8,,,,150,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-3,,,,,,,150,,,
ODP-202-1242,,0.69,-1.04,4.82,,,10,250,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-3,,,,,,,,,,250
ODP-202-1242,,0.73,-0.94,4.94,,,,150,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-3,,,,,,,150,,,
ODP-202-1242,,0.77,-1.16,4.67,,,10,250,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-3,,,,,,,,,,250
ODP-202-1242,,0.81,-0.84,4.97,,,,150,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-3,,,,,,,150,,,
ODP-202-1242,,0.85,-1.12,4.73,,,10,250,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-3,,,,,,,,,,250
ODP-202-1242,,0.89,-1.12,4.86,,,,150,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-3,,,,,,,150,,,
ODP-202-1242,,0.93,-1.14,4.68,,,10,250,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-3,,,,,,,,,,250
ODP-202-1242,,0.97,-1.11,4.95,,,,150,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-3,,,,,,,150,,,
ODP-202-1242,,1.01,-0.56,4.16,,,10,250,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-3,,,,,,,,,,250
ODP-202-1242,,1.05,-1.08,4.75,,,,150,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-3,,,,,,,150,,,
ODP-202-1242,,1.13,-1.05,4.59,,,,150,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-3,,,,,,,150,,,
ODP-202-1242,,1.17,-0.86,4.69,,,10,250,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-3,,,,,,,,,250,
ODP-202-1242,,1.21,-1.07,4.63,,,,150,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-3,,,,,,,150,,,
ODP-202-1242,,1.25,-0.89,4.74,,,10,250,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-3,,,,,,,,,250,
ODP-202-1242,,1.29,-0.94,4.54,,,,150,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-3,,,,,,,150,,,
ODP-202-1242,,1.33,-1.11,4.59,,,10,250,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-3,,,,,,,,,250,
ODP-202-1242,,1.37,-0.93,4.51,,,,150,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-3,,,,,,,150,,,
ODP-202-1242,,1.41,-1.03,4.46,,,6,250,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-3,,,,,,,,,,250
ODP-202-1242,,1.45,-0.84,4.6,,,,150,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-3,,,,,,,150,,,
ODP-202-1242,,1.49,-1.06,4.51,,,5,250,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-3,,,,,,,,,,250
ODP-202-1242,,0.01,-1.03,4.66,,,,150,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-4,,,,,,,150,,,
ODP-202-1242,,0.05,-1.21,4.6,,,6,250,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-4,,,,,,,,,,250
ODP-202-1242,,0.09,-0.91,4.47,,,,150,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-4,,,,,,,150,,,
ODP-202-1242,,0.13,-1.09,4.54,,,6,250,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-4,,,,,,,,,,250
ODP-202-1242,,0.17,-0.99,4.58,,,,150,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-4,,,,,,,150,,,
ODP-202-1242,,0.21,-1.16,4.57,,,6,250,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-4,,,,,,,,,,250
ODP-202-1242,,0.25,-1.08,4.44,,,,150,,Uvigerina,5,,,,,Age model calculated by Alan Mix,,,,1,,202,,1242A,1H-4,,,,,,,150,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
