Site,Sample Label,archival-depth (m),d13C (VPDB),d18O (VPDB),d13C-corrected (PDB),d18O-corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon-flag,Taxon-note1,Taxon-note2,Taxon-note3,Additional-note,Publication source,Original Reference,File Name,Data source,quality control
KNR166-2-29JPC,,0.9025,0.5,2.56,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.9025,0.46,2.45,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.9425,0.27,2.14,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.9425,0.19,2.41,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.9425,0.5,2.43,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.9625,0.42,2.18,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.9825,0.38,2.34,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.9825,0.29,2.13,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,0.9825,0.28,2.39,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,1.0025,0.35,2.13,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,1.0225,0.38,2.1,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,1.0225,0.44,2.17,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,1.0225,0.49,2.21,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,1.0425,0.73,2.38,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,1.0625,0.97,2.11,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,1.0625,0.66,2.67,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,1.0825,0.56,1.91,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,1.0825,0.98,1.92,,,,,,Planulina Ariminensis,8,P. ariminensis,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,1.1025,0.75,2.19,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,1.1025,0.56,2.11,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,1.1425,0.73,2.22,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,1.1425,0.72,2.04,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,1.1425,0.73,2.15,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,1.1625,0.95,2.31,,,,,,Planulina Ariminensis,8,P. ariminensis,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
KNR166-2-29JPC,,1.2025,0.67,2.27,,,,,,Cibicidoides Pachyderma,4,,,,,,"Lynch-Stieglitz, J., M.W. Schmidt, and W.B. Curry. 2011. Evidence from the Florida Straits for Younger Dryas ocean circulation changes. ocean circulation changes.",,,1
