# NOAA Paleoclimatology Program - Paleocean Site Data
# m952042s-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Nicholas J. Shackleton
# Core/Site:      MD952042
# Latitude:       37.48.00N	( 37.8)
# Longitude:      10.10.00W	( -10.16667)
# Water Depth(m): 3146
#
# Publications:
#   Shackleton, N.J., M.A. Hall, and E. Vincent. 2000. Phase relationships between
#     millennial scale events 64000 to 24000 years ago. Paleoceanography 15(6):565.
#------------------
#
# Description & Notes:
#   MD952042 High Resolution Oxygen and Carbon Isotope Data.
#   Data precision: better than .1 per mil. Chronostratigraphic information: direct
#   AMS and match to coral ages for events; GRIP Date of data generation: 1996. Please
#   note: tuning to GISP2 60-75 ka (GISP-matched agemod,
revised June 2002 at 68.72
#   ka)
#
# Variables:
#             depth         Depth (cm)
#             yrBP GRIP     radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             yrBP GISP     radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d13Ch.eleg    delta C13 PDB (Hoeglundina elegans)
#             d18Ocwuell_corr             delta O18 PDB (benthic foraminifers) corrected to compare with Uvigerina spp.
#             d18Oh.eleg    delta O18 PDB (Hoeglundina elegans)
#             d13Cp.wuell   delta C13 PDB (Planulina wuellerstorfi)
#             d18Op.wuell   delta O18 PDB (Planulina wuellerstorfi)
#             d13Cg.bull    delta C13 PDB (Globigerina bulloides)
#             d18Og.bull    delta O18 PDB (Globigerina bulloides)
#             d13Cg.affin   delta C13 PDB (Globobulimina affinis)
#             d18Og.affin   delta O18 PDB (Globobulimina affinis)
#             d13Ccibid     delta C13 PDB (Cibicidoides sp.)
#             d18Ocibid     delta O18 PDB (Cibicidoides sp.)
#             d13Cu.pereg   delta C13 PDB (Uvigerina peregrina)
#             d18Ou.pereg   delta O18 PDB (Uvigerina peregrina)
#             d13Cm.barle   delta C13 PDB (Melonis barleanum)
#             d18Om.barle   delta O18 PDB (Melonis barleanum)
#
# CORE: MD952042
depth	yrBP GRIP	yrBP GISP	d13Ch.eleg	d18Ocwuell_corr	d18Oh.eleg	d13Cp.wuell	d18Op.wuell	d13Cg.bull	d18Og.bull	d13Cg.affin	d18Og.affin	d13Ccibid	d18Ocibid	d13Cu.pereg	d18Ou.pereg	d13Cm.barle	d18Om.barle	notes
430	-999	-999	-999	4.19	-999	0.35	3.55	-999	-999	-999	-999	0.35	3.55	-999	-999	-999	-999	MD95-2042M99/1130
430	-999	-999	-999	-999	-999	-999	-999	-1.48	1.22	-999	-999	-999	-999	-999	-999	-999	-999	P96/811
432	-999	-999	-999	4.27	-999	-999	-999	-999	-999	-2.24	4.57	-2.24	4.57	-999	-999	-999	-999	MD95-2042M99/5094
432	-999	-999	-999	-999	-999	-999	-999	-1.04	1.1	-999	-999	-999	-999	-999	-999	-999	-999	S99/3587
434	14520	14590	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	MD95-2042M99/5172
436	-999	-999	-999	4.39	-999	-999	-999	-999	-999	-2.06	4.69	-2.06	4.69	-999	-999	-999	-999	MD95-2042M99/5172
436	-999	-999	-999	-999	-999	-999	-999	-1.01	1.5	-999	-999	-999	-999	-999	-999	-999	-999	S99/3588
440	-999	-999	-999	3.99	-999	-999	-999	-999	-999	-2.28	4.29	-2.28	4.29	-999	-999	-999	-999	MD95-2042M99/1215
440	-999	-999	-999	4.18	-999	-999	-999	-999	-999	-2.19	4.48	-2.19	4.48	-999	-999	-999	-999	MD95-2042M99/5177
440	-999	-999	-999	-999	-999	-999	-999	-1.48	1.64	-999	-999	-999	-999	-999	-999	-999	-999	S95/3903
444	-999	-999	-999	4.37	-999	-999	-999	-999	-999	-2.15	4.67	-2.15	4.67	-999	-999	-999	-999	MD95-2042M99/5092
444	-999	-999	-999	-999	-999	-999	-999	-0.57	2.27	-999	-999	-999	-999	-999	-999	-999	-999	S99/3589
448	-999	-999	-999	4.42	-999	-999	-999	-999	-999	-2.07	4.72	-2.07	4.72	-999	-999	-999	-999	MD95-2042M99/5165
448	-999	-999	-999	4.28	-999	-999	-999	-999	-999	-2.16	4.58	-2.16	4.58	-999	-999	-999	-999	MD95-2042M99/5091
448	-999	-999	-999	4.19	-999	0.44	3.55	-999	-999	-999	-999	0.44	3.55	-999	-999	-999	-999	MD95-2042M99/5166
448	-999	-999	-999	-999	-999	-999	-999	-0.78	2.14	-999	-999	-999	-999	-999	-999	-999	-999	S99/3590
450	-999	-999	-999	4.34	-999	-999	-999	-999	-999	-2.13	4.64	-2.13	4.64	-999	-999	-999	-999	MD95-2042M99/1216
450	-999	-999	-999	-999	-999	-999	-999	-0.73	2.22	-999	-999	-999	-999	-999	-999	-999	-999	P96/801
