Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
PS2561-2,,4.1,-0.2993,4.0116,-0.2993,4.0116,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
PS2561-2,,4.2,-0.8848,4.1542,-0.8848,4.1542,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
PS2561-2,,4.3,-1.0131,4.2106,-1.0131,4.2106,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
PS2561-2,,4.4,-0.91,4.1862,-0.91,4.1862,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
PS2561-2,,4.5,-0.953,4.224,-0.953,4.224,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
PS2561-2,,4.6,-0.7825,4.1627,-0.7825,4.1627,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
PS2561-2,,4.7,-0.6663,4.1528,-0.6663,4.1528,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
PS2561-2,,4.8,-0.8117,4.1704,-0.8117,4.1704,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
PS2561-2,,4.9,-0.7735,4.1268,-0.7735,4.1268,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
PS2561-2,,5.0,-0.7453,4.0376,-0.7453,4.0376,,,,Cibicidoides wuellerstorfi,1,,,,,,From Mulitza et al. 2022 ESSD compilation,"Krueger, S., Leuschner, D. C., Ehrmann, W., Schmiedl, G., Mackensen, A., and Diekmann, B.: Ocean circulation patterns and dust supply into the South Atlantic during the last glacial cycle revealed by statistical analysis of kaolinite/chlorite ratios, Marine Geology, 253, 82-91, doi:10.1016/j.margeo.2008.04.015, 2008.",,Schmiedl (pers. comm.),1
